iter,stage,env_steps,mean_rew,success_rate,mean_depth_mm,ep_done,approx_kl,entropy,pol_loss,val_loss,steps_per_s
0,3,48000,5.110527515411377,0.2528541735082399,24.09667593240738,1000,0.005010925504747623,1.2559393271803856,0.0013086251742606692,8802.58480834961,46945.250680296595
1,3,96000,5.263814926147461,0.26052084053420305,24.096675137678783,1000,0.0026988260329223225,1.2557630576193333,-0.00029241407037261524,9245.95150756836,87562.94494357205
2,3,144000,5.268798828125,0.2607708399494489,24.096676250298817,1000,0.0018691484917908383,1.2600432559847832,-3.4489156632844242e-06,9186.876068115234,89316.67956227205
3,3,192000,5.222999095916748,0.25847917354743305,24.096677402655285,1000,0.0022578437860230824,1.2650216370821,-0.0004667858738685027,9046.384307861328,88578.56226077971
4,3,240000,4.966461658477783,0.2456458382997274,24.09667630990346,1000,0.0019392195867706814,1.2669339179992676,-0.0002546117357269395,8207.29525756836,88691.17654994594
5,3,288000,5.3358893394470215,0.26412500948208617,24.096675376097362,1000,0.0014733031517807828,1.2690925896167755,-0.0002303073270013556,9394.060485839844,87860.11881418579
6,3,336000,5.2021684646606445,0.2574375078693265,24.096674859523773,1000,0.0019049187012703138,1.2727977856993675,-0.00048588396293780534,8892.88119506836,87592.51528060802
7,3,384000,5.188420295715332,0.25675000589399133,24.096676886081696,1000,0.0017007141991831152,1.2772481478750706,-0.0002818203629431082,8839.676666259766,89367.71864246257
8,3,432000,5.077610969543457,0.2512083396383484,24.09667553504308,1000,0.0016734216593536078,1.2790701985359192,-0.00021960108279017732,8434.683944702148,88279.8957494319
9,3,480000,5.155115604400635,0.255083339989748,24.09667597214381,1000,0.0020483647041279855,1.281499471515417,-0.00037498386700463016,8696.409576416016,86308.50823343973
10,3,528000,5.203434467315674,0.25750000699675485,24.096676250298817,1000,0.0016380264756443615,1.2820309847593307,-0.0003392561138753081,8865.87777709961,87836.32489951774
11,3,576000,5.306723117828369,0.2626666747285829,24.096674780050915,1000,0.0013994171149843172,1.2809651866555214,-0.00026745553259388544,9189.073120117188,87326.13673094366
12,3,624000,5.192159652709961,0.25693750525048625,24.096674899260204,1000,0.0023404840191714885,1.2826395221054554,-0.00047628515312680975,8776.973663330078,86794.82423746776
13,3,672000,5.206750392913818,0.2576666736616365,24.096674422423046,1000,0.0021699662909713878,1.2837948761880398,-0.0004749705340145738,8830.678619384766,87247.22649538844
14,3,720000,5.15512228012085,0.2550833396380767,24.09667460123698,1000,0.0013977718138981077,1.2846925854682922,-0.00023644315183446452,8674.639190673828,89293.07349339586
15,3,768000,5.2359232902526855,0.2591250058734052,24.096674740314484,1000,0.0006411662698485544,1.2856515981256962,-0.00010530391773500014,8937.900390625,87048.19752622859
16,3,816000,5.15470552444458,0.2550625063595362,24.096676011880238,1000,0.0014069214693946223,1.2869100831449032,-0.00037340761082305107,8669.076446533203,89903.8630469295
17,3,864000,5.110943794250488,0.25287500745859387,24.096675495306652,1000,0.0018028852000740482,1.288173172622919,-0.000634007781627588,8485.957061767578,86726.82714834165
18,3,912000,5.231328010559082,0.25889583932924626,24.096676886081696,1000,0.0011969199120213242,1.289216373115778,-0.0003664554415081511,8925.843139648438,87670.34160059706
19,3,960000,5.239657402038574,0.2593125050868063,24.09667577346166,1000,0.00020131277529122828,1.2896120585501194,-0.00020867526245638146,8937.914916992188,86366.2602939725
