iter,stage,env_steps,mean_rew,success_rate,mean_depth_mm,ep_done,approx_kl,entropy,pol_loss,val_loss,steps_per_s
0,0,32000,2.4038918018341064,1.0,24.008690521007274,655,0.022155691403895617,2.756942242383957,0.005310853535775095,933.9072723388672,39712.746337781246
1,0,64000,-0.2774115204811096,1.0,22.154170989990234,1,0.008024772356293397,2.7550254985690117,-0.002043011589194066,9.7060576826334,82432.88437468142
2,0,96000,-0.40365540981292725,0.0,0.0,0,0.006777025930205127,2.7458893582224846,-0.003459800367295429,10.727690920233727,83587.4598903078
3,0,128000,-0.44151511788368225,1.0,23.55825710296631,2,0.006265042480652482,2.7409931793808937,-0.0036235377456250717,17.075389489531517,83629.92271816611
4,0,160000,-0.46077919006347656,1.0,22.463736216227215,3,0.011075923866883386,2.7414136454463005,-0.00240369781249683,20.137169510126114,83128.4487658715
5,0,192000,-0.44093069434165955,1.0,23.741645018259685,12,0.006021913043912718,2.7415448650717735,-0.002519262819987489,50.54388070106506,84900.52809884964
6,0,224000,-2.6903672218322754,0.00030765444253015014,5.79627796431759,16252,0.003555715540642268,2.7442251443862915,-0.0006896877821418457,64.28757977485657,81074.6345528698
7,0,256000,-0.7693286538124084,0.0011027228772584612,0.02593753105083973,23578,0.007092043601005571,2.749353237450123,0.0006079622089600889,102.59647583961487,83882.75115290371
8,0,288000,-0.7406787276268005,0.0022426268353573395,0.059619411009605834,23633,0.004672277178542572,2.7557623386383057,-0.0016329596073774155,132.20266771316528,82900.32206865044
9,0,320000,-0.8663528561592102,0.0008470269354565475,0.025115037921645086,23612,0.0054264723535088705,2.768562600016594,0.0005610884300040198,57.053433775901794,80807.1260184981
10,0,352000,-0.8364479541778564,0.0013093427943909443,0.04165110207022918,23676,0.0053471229803108145,2.790039636194706,-6.723232945660129e-05,72.71722102165222,79749.93888528342
11,0,384000,-0.8709648251533508,0.0009267059814658804,0.039361665383445786,23740,0.005094590855151182,2.8000820204615593,-0.0006977063649173942,62.62548625469208,80838.00720215075
12,0,416000,-1.0477815866470337,0.0006070171178827243,0.35418322650661965,24711,0.0036271161250169826,2.807550549507141,-0.00046615041719633155,46.63978564739227,81628.9331118402
13,0,448000,-0.9119932651519775,0.0006989748369058714,0.02168254253841328,25752,0.007370084997091908,2.8147818446159363,-0.0010360235610278323,47.46991962194443,82895.50603702331
14,0,480000,-0.7846855521202087,0.0022303403191693905,0.10666182572464374,26005,0.005707757198251784,2.8220259100198746,-0.0006004340916661022,151.28446125984192,79915.0962022558
15,0,512000,-0.8345518112182617,0.0016119746689694876,0.05203139664366844,26055,0.003989036945768021,2.825013369321823,-0.0012831892554459046,94.44351077079773,81510.20643360664
16,0,544000,-0.7201934456825256,0.002720514981990957,0.07632888959407697,26098,0.0023588144481436757,2.8292769715189934,-0.0002807852433761582,145.4052755832672,81012.71298720519
17,0,576000,-0.6939115524291992,0.0030264720530207255,0.080341814505352,26103,0.0018282697579289787,2.8328220918774605,-0.0007520195140386932,146.36353302001953,82404.19322239261
18,0,608000,-0.6826469898223877,0.0031020220588235292,0.08863573718596907,26112,0.002034691776486852,2.832460105419159,-0.0009574745636200532,150.2810182571411,80938.88949971565
19,0,640000,-0.7726916670799255,0.002186085755925443,0.05462653997019956,26074,0.003933204407861012,2.833327054977417,-0.001594432955243974,109.65835094451904,81865.9266767038
20,0,672000,-0.6311444044113159,0.003714055978864341,0.0941127827198823,26117,0.0012200073799376696,2.8352521657943726,-0.0005791014609712875,148.81715393066406,83421.88958092881
21,0,704000,-0.6601625084877014,0.0033710017238076997,0.08305562290965403,26105,0.0019139643974094723,2.836636960506439,-0.0003779742260121566,137.39373803138733,83559.92674576667
22,0,736000,-0.7141689658164978,0.0028735632183908046,0.07836923065770175,26100,0.001841623287305083,2.8389580324292183,-0.000330400879647641,111.93441224098206,79363.11733159516
