iter,stage,env_steps,mean_rew,success_rate,mean_depth_mm,ep_done,approx_kl,entropy,pol_loss,val_loss,steps_per_s
0,0,32000,0.5978745818138123,0.031250001116859494,-28.041902791708708,1000,0.047747744954656814,1.259428009390831,0.018370158795733005,91.36563301086426,39191.45841201147
1,0,64000,0.5079810619354248,0.024843750914442353,-2.857380647677928,1000,0.004935423373972299,1.2680776119232178,0.0009220165702572558,61.88347911834717,84589.35015343515
2,0,96000,0.392230361700058,0.0095937503137975,-27.217863054014742,1000,0.0075221894273854555,1.2751498483121395,0.0031686781660482666,11.26726919412613,86149.72186728718
3,0,128000,0.5453005433082581,0.028062501125532435,-32.697500094771385,1000,0.14750014803558587,1.2689232528209686,0.03429749052156694,38.98182535171509,100436.95442674098
4,0,160000,0.4675953686237335,0.031093751367734512,-10.013718933332711,1000,0.0025468723193844203,1.2671521194279194,-0.0004887638933723792,33.960471630096436,83572.50260215589
5,0,192000,0.368471622467041,0.004250000129104592,-16.94467519968748,1000,0.007552789208863033,1.2674274519085884,0.005012263662138139,5.426104083657265,83285.82028728789
6,0,224000,0.5934392213821411,0.027156250998814357,-33.89587876945734,1000,0.023347588732140136,1.2671286910772324,0.008981345297797816,17.288511991500854,98298.3523117901
7,0,256000,0.4855973720550537,0.03125000134605216,-19.48413418419659,1000,0.003268758146587061,1.2676613181829453,-0.0004107227287022397,13.9513521194458,84743.33330428351
8,0,288000,0.3765145540237427,0.0085625004285248,-7.2502906357403845,1000,0.00791286535920517,1.2630800046026707,0.0043649205053952755,3.2821027114987373,82404.37677919697
9,0,320000,0.5523847937583923,0.02268750070288661,-32.99262460321188,1000,0.07485938958916813,1.260475754737854,0.048623734910506755,7.008469104766846,98024.89697178312
10,0,352000,0.5462809801101685,0.031250001477019396,-27.04618202522397,1000,0.006502743583987468,1.2606776170432568,0.0020420530129285908,5.696165844798088,83504.62807233499
11,0,384000,0.4414087235927582,0.01893750087765511,-3.2851351760327816,1000,0.007956092983906274,1.2587380222976208,0.0032899887097528335,2.650564342737198,84189.48426421879
12,0,416000,0.43796396255493164,0.01346875075250864,-29.23545966297388,1000,0.008053401640732772,1.258254885673523,0.0038775200137024513,2.7106631994247437,83554.89044407936
