iter,stage,env_steps,mean_rew,success_rate,mean_depth_mm,ep_done,approx_kl,entropy,pol_loss,val_loss,steps_per_s
0,0,192000,9.254823684692383,0.45963543966354337,38.351511396467686,2000,0.028142434456696112,1.2586624473333359,0.020185571280308068,34727.7685546875,111643.98546178115
1,0,384000,9.200112342834473,0.45690106247275253,38.32543473069867,2000,0.002949021093886889,1.2662834264338017,0.0006158314999993308,33904.87451171875,142968.9659712342
2,0,576000,9.217487335205078,0.4577448128341833,38.28975500911474,2000,0.0014239686417983346,1.276241883635521,-8.302283947614342e-05,33744.029052734375,142776.56874899202
3,0,768000,9.292572021484375,0.46150002321761957,38.326546217004456,2000,0.0012810943055252817,1.2828432694077492,-6.203306281804544e-05,33949.953857421875,142362.26999666032
4,0,960000,9.251494407653809,0.45947398251640453,38.35058503163358,2000,0.001117229654743217,1.2879639454185963,-1.2934438927914016e-05,33747.64709472656,141281.80874481183
5,0,1152000,9.19476318359375,0.4566250211161484,38.327676088704415,2000,0.0010938192326111675,1.2928816825151443,4.590739354171092e-05,33414.464782714844,142114.28894596352
6,0,1344000,9.195618629455566,0.4566718954083626,38.353664454072714,2000,0.0014333385346496164,1.3006561696529388,-8.31605775601929e-05,33287.43280029297,142750.82631230674
7,0,1536000,9.253016471862793,0.4595468965295974,38.401442769293986,2000,0.001810066824027596,1.3066610917448997,-0.00016345619269486633,33552.38635253906,142468.6324863168
8,0,1728000,9.222552299499512,0.4580312721057756,38.383991450692214,2000,0.0017054893020049347,1.3085547871887684,-6.477296858520276e-05,33226.62481689453,140197.7664729796
9,0,1920000,9.206928253173828,0.45723960439742467,38.3385295458138,2000,0.0013160859637355322,1.3119216933846474,-1.5600160736539692e-06,33028.335998535156,141118.01058569006
10,1,2112000,7.4042840003967285,0.36718230668096413,37.5691598324726,2000,0.0013933179956608609,1.319407768547535,-1.636785236769356e-05,25180.781616210938,144679.18373263857
11,1,2304000,7.540173053741455,0.37394793449918023,37.55710292432923,2000,0.0018882839655325369,1.3306739330291748,-7.872412970755249e-05,25510.973266601562,143882.52056737055
12,1,2496000,7.4748334884643555,0.370682309455636,37.57882597607871,2000,0.0016351337864046703,1.3382974229753017,-9.257357214664808e-05,25126.48895263672,144321.6486128023
13,1,2688000,7.592035293579102,0.3765625166555158,37.66026810308298,2000,0.0013038745838507564,1.3458385989069939,-3.3741282095434144e-05,25542.96661376953,143151.7933424724
14,1,2880000,7.4300150871276855,0.3684739770002731,37.5996545429031,2000,0.0015869074962192825,1.3555845096707344,-8.512201111443574e-05,24869.379821777344,143961.13592795483
15,1,3072000,7.617153644561768,0.37782293547267426,37.66846992944678,2000,0.0014580757399332168,1.3640947602689266,-3.450494205026189e-06,25593.570861816406,142333.05285762344
16,1,3264000,7.681276798248291,0.3809896010728456,37.60241104848683,2000,0.0014825590130737208,1.3677485808730125,6.372862708303728e-05,25667.008056640625,143295.05168220398
17,1,3456000,7.443546772003174,0.36912501689221244,37.58400563926747,2000,0.0017399963359075628,1.37396789342165,-1.4376668332261033e-05,24711.230529785156,144117.89434647496
18,1,3648000,7.444419860839844,0.36917189355153823,37.57624028095355,2000,0.001665491678597088,1.383877009153366,-0.00012525425495368836,24701.70166015625,142616.47426841757
