iter,stage,env_steps,mean_rew,success_rate,mean_depth_mm,ep_done,approx_kl,entropy,pol_loss,val_loss,steps_per_s
0,0,32000,0.2796615660190582,1.0,24.05453700235445,146,0.010706592427595751,2.754021316766739,0.000850238471684861,182.06142902374268,36680.92107857302
1,0,64000,-0.30785828828811646,1.0,22.525251388549805,1,0.00885194954025792,2.747677721083164,-0.0014885100245010108,8.096060991287231,82519.42086647733
2,0,96000,-0.3141997158527374,0.0,0.0,0,0.007523119953475543,2.7310295328497887,-0.003380859241588041,4.661348685622215,82490.79406066838
3,0,128000,-0.2593119740486145,1.0,25.0,1,0.010820698124007322,2.7117170616984367,-0.004043854276005732,5.654818013310432,84958.20840364449
4,0,160000,-0.1551651656627655,1.0,24.25741934007214,31,0.013047839704086073,2.6949999779462814,-0.0013532628308894346,81.81721830368042,80548.82100508615
5,0,192000,-0.20353040099143982,1.0,24.600466882028886,31,0.010122298990143462,2.6896455585956573,-0.0007031337981970864,80.66616892814636,83009.31490293179
6,0,224000,-1.3256582021713257,0.0011690437222352116,5.966066651905088,8554,0.0035301385500824834,2.691814139485359,-0.0008228195438277908,39.53828287124634,83553.58733063405
7,0,256000,-0.4557955265045166,0.0006228312127413471,0.014809071757804245,11239,0.005769426704762736,2.6887230426073074,-0.0015633999100828078,23.657845586538315,83737.15313582786
8,0,288000,-0.31980496644973755,0.0071403385049365305,0.18611602789928613,11344,0.00470960617210585,2.6840284690260887,-0.0017642392690504494,176.51355171203613,81120.92097869547
9,0,320000,-0.3256727457046509,0.007577092511013216,0.18922790863440425,11350,0.00814416208959301,2.6792598366737366,0.0005068572218078771,156.8294825553894,83511.79020026665
10,0,352000,-0.4453498125076294,0.004886135590262629,0.2282619677687511,11461,0.0037566030018751917,2.6724593341350555,-0.0008370471914531663,111.03624653816223,81079.77298581188
11,0,384000,-0.49938419461250305,0.0038629492777964396,0.20527299074346603,11908,0.003285767895011304,2.668659597635269,-0.0011537497302924749,85.06457912921906,80783.79487505922
12,0,416000,-0.7955977320671082,0.0030591918042117247,1.3742799058717696,14056,0.0045144748532839,2.6685581281781197,4.8042390972113935e-05,75.13814854621887,81185.39196762977
13,0,448000,-0.5694984197616577,0.002150401619125925,0.05528768908931517,15811,0.006749130759068066,2.6621272414922714,0.0007949689515953651,61.876083731651306,79249.82806173014
14,0,480000,-0.3863208591938019,0.006202230296955269,0.2212802101654332,15962,0.0050721675329332356,2.6575719118118286,-0.0008384308184758993,162.2710542678833,79901.5862109669
15,0,512000,-0.380641371011734,0.006456018374821528,0.24360947061631405,16109,0.0016989966419159828,2.6568525284528732,-0.0012100562562409323,167.41906070709229,80852.98463549053
